source,dest,workshop,category,page_role,resource_role,result,source_type
main/rebuild/content/legacy/whole/Module 0/MB_FTS_ 0.docx,main/rebuild/content/workshops/workshop-00/resources/MB_FTS_ 0.docx,workshop-00,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/Money Basics PPT Workshop 1.pdf,main/rebuild/content/workshops/workshop-01/resources/Money Basics PPT Workshop 1.pdf,workshop-01,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/MB_FTS_ 1.docx,main/rebuild/content/workshops/workshop-01/resources/MB_FTS_ 1.docx,workshop-01,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/Money Basics PPT Workshop 1.pptx,main/rebuild/content/workshops/workshop-01/resources/Money Basics PPT Workshop 1.pptx,workshop-01,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/OR_WorkSystemsPresentation_20211006.pptx,main/rebuild/content/workshops/workshop-01/resources/OR_WorkSystemsPresentation_20211006.pptx,workshop-01,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/Course Introduction/Creating Community Agreements.pdf,main/rebuild/content/workshops/workshop-01/resources/Course Introduction/Creating Community Agreements.pdf,workshop-01,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/Course Introduction/Workshop 01 - Introduction.pdf,main/rebuild/content/workshops/workshop-01/resources/Course Introduction/Workshop 01 - Introduction.pdf,workshop-01,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/Course Introduction/Trauma-Informed-Care-in-the-Classroom.pdf,main/rebuild/content/workshops/workshop-01/resources/Course Introduction/Trauma-Informed-Care-in-the-Classroom.pdf,workshop-01,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/Course Introduction/Developing Community Agreements.pdf,main/rebuild/content/workshops/workshop-01/resources/Course Introduction/Developing Community Agreements.pdf,workshop-01,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/WS1 Handouts/SSS_BudgetWorksheet_052023.pdf,main/rebuild/content/workshops/workshop-01/worksheets/WS1 Handouts/SSS_BudgetWorksheet_052023.pdf,workshop-01,worksheets,,handout,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/WS1 Handouts/3. Poverty and Intersectionality in Oregon.pdf,main/rebuild/content/workshops/workshop-01/resources/WS1 Handouts/3. Poverty and Intersectionality in Oregon.pdf,workshop-01,resources,,handout,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/WS1 Handouts/1. Poverty and Hunger in America.pdf,main/rebuild/content/workshops/workshop-01/resources/WS1 Handouts/1. Poverty and Hunger in America.pdf,workshop-01,resources,,handout,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/WS1 Handouts/5. How Poverty is Measured in the US.pdf,main/rebuild/content/workshops/workshop-01/resources/WS1 Handouts/5. How Poverty is Measured in the US.pdf,workshop-01,resources,,handout,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/WS1 Handouts/Workshop 1 Worksheets (extra).pdf,main/rebuild/content/workshops/workshop-01/worksheets/WS1 Handouts/Workshop 1 Worksheets (extra).pdf,workshop-01,worksheets,,handout,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/WS1 Handouts/4. Hidden Rules Among Classes.pdf,main/rebuild/content/workshops/workshop-01/resources/WS1 Handouts/4. Hidden Rules Among Classes.pdf,workshop-01,resources,,handout,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/WS1 Handouts/6. The _American Dream_ of upward mobility is broken.pdf,main/rebuild/content/workshops/workshop-01/resources/WS1 Handouts/6. The _American Dream_ of upward mobility is broken.pdf,workshop-01,resources,,handout,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/WS1 Handouts/Workshop 1 Worksheets.pdf,main/rebuild/content/workshops/workshop-01/worksheets/WS1 Handouts/Workshop 1 Worksheets.pdf,workshop-01,worksheets,,handout,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/WS1 Handouts/Financial Literacy & African Americans_ Bridging the Gap.pdf,main/rebuild/content/workshops/workshop-01/resources/WS1 Handouts/Financial Literacy & African Americans_ Bridging the Gap.pdf,workshop-01,resources,,handout,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/WS1 Handouts/2. Steps Toward Financial Resilience.pdf,main/rebuild/content/workshops/workshop-01/resources/WS1 Handouts/2. Steps Toward Financial Resilience.pdf,workshop-01,resources,,handout,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/WS1 Handouts/7. White Privilege Invisible Knapsack.pdf,main/rebuild/content/workshops/workshop-01/resources/WS1 Handouts/7. White Privilege Invisible Knapsack.pdf,workshop-01,resources,,handout,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/WS1 Resources/Workshop 1 Additional Resources.pdf,main/rebuild/content/workshops/workshop-01/resources/WS1 Resources/Workshop 1 Additional Resources.pdf,workshop-01,resources,,additional_resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/WS1 Resources/16. Supplemental Poverty Measure.pdf,main/rebuild/content/workshops/workshop-01/resources/WS1 Resources/16. Supplemental Poverty Measure.pdf,workshop-01,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/WS1 Resources/Workshop 01 - Introduction.pdf,main/rebuild/content/workshops/workshop-01/resources/WS1 Resources/Workshop 01 - Introduction.pdf,workshop-01,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/WS1 Resources/12. FAQs on Problem Gambling.pdf,main/rebuild/content/workshops/workshop-01/resources/WS1 Resources/12. FAQs on Problem Gambling.pdf,workshop-01,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/WS1 Resources/14. Financial Strategies for Loved Ones of Gamblers.pdf,main/rebuild/content/workshops/workshop-01/resources/WS1 Resources/14. Financial Strategies for Loved Ones of Gamblers.pdf,workshop-01,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/WS1 Resources/13. Financial Toolkit for Problem Gamblers.pdf,main/rebuild/content/workshops/workshop-01/resources/WS1 Resources/13. Financial Toolkit for Problem Gamblers.pdf,workshop-01,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/Visuals/workshop packet image.png,main/rebuild/content/workshops/workshop-01/resources/Visuals/workshop packet image.png,workshop-01,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/Visuals/2-768x512.jpg,main/rebuild/content/workshops/workshop-01/resources/Visuals/2-768x512.jpg,workshop-01,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/Visuals/poverty_intersectionality_privilege_excerpt.html,main/rebuild/content/workshops/workshop-01/pages/Visuals/poverty_intersectionality_privilege_excerpt.html,workshop-01,pages,content_page,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/Visuals/equity-apple-tree-1024x575.jpg,main/rebuild/content/workshops/workshop-01/resources/Visuals/equity-apple-tree-1024x575.jpg,workshop-01,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/Visuals/Wheel of Privilege and Power.png,main/rebuild/content/workshops/workshop-01/resources/Visuals/Wheel of Privilege and Power.png,workshop-01,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/SG:FG/W1_SG.pdf,main/rebuild/content/workshops/workshop-01/Student_Guide/W1_SG.pdf,workshop-01,Student_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/SG:FG/W1_FG.pdf,main/rebuild/content/workshops/workshop-01/Facilitator_Guide/W1_FG.pdf,workshop-01,Facilitator_Guide,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/Worksheets/Individual Course Goals.pdf,main/rebuild/content/workshops/workshop-01/worksheets/Worksheets/Individual Course Goals.pdf,workshop-01,worksheets,,worksheet,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/Worksheets/Money Savings Ideas and Trackers.pdf,main/rebuild/content/workshops/workshop-01/worksheets/Worksheets/Money Savings Ideas and Trackers.pdf,workshop-01,worksheets,,worksheet,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/WS1 Resources/Behavioral Health and Mindfulness/2. How to Practice Mindfulness on a Budget.pdf,main/rebuild/content/workshops/workshop-01/resources/WS1 Resources/Behavioral Health and Mindfulness/2. How to Practice Mindfulness on a Budget.pdf,workshop-01,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/WS1 Resources/Behavioral Health and Mindfulness/1. Tips for Managing Money When You Live With Mental Health Challenges.pdf,main/rebuild/content/workshops/workshop-01/resources/WS1 Resources/Behavioral Health and Mindfulness/1. Tips for Managing Money When You Live With Mental Health Challenges.pdf,workshop-01,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 1/WS1 Resources/Behavioral Health and Mindfulness/3. How to Reduce Financial Stress.pdf,main/rebuild/content/workshops/workshop-01/resources/WS1 Resources/Behavioral Health and Mindfulness/3. How to Reduce Financial Stress.pdf,workshop-01,resources,,resource,copied,whole_legacy
"main/rebuild/content/legacy/whole/Module 1/WS1 Resources/Poverty, Intersectionality, Social Justice/11. Unaffordable America. Poverty, Housing and Eviction.pdf","main/rebuild/content/workshops/workshop-01/resources/WS1 Resources/Poverty, Intersectionality, Social Justice/11. Unaffordable America. Poverty, Housing and Eviction.pdf",workshop-01,resources,,resource,copied,whole_legacy
"main/rebuild/content/legacy/whole/Module 1/WS1 Resources/Poverty, Intersectionality, Social Justice/4. Income Inequality in America.pdf","main/rebuild/content/workshops/workshop-01/resources/WS1 Resources/Poverty, Intersectionality, Social Justice/4. Income Inequality in America.pdf",workshop-01,resources,,resource,copied,whole_legacy
"main/rebuild/content/legacy/whole/Module 1/WS1 Resources/Poverty, Intersectionality, Social Justice/8. Race and the lack of intergenerational economic mobility in the US.pdf","main/rebuild/content/workshops/workshop-01/resources/WS1 Resources/Poverty, Intersectionality, Social Justice/8. Race and the lack of intergenerational economic mobility in the US.pdf",workshop-01,resources,,resource,copied,whole_legacy
"main/rebuild/content/legacy/whole/Module 1/WS1 Resources/Poverty, Intersectionality, Social Justice/6. Data Illustrating the Intersectional Nature of Poverty.pdf","main/rebuild/content/workshops/workshop-01/resources/WS1 Resources/Poverty, Intersectionality, Social Justice/6. Data Illustrating the Intersectional Nature of Poverty.pdf",workshop-01,resources,,resource,copied,whole_legacy
"main/rebuild/content/legacy/whole/Module 1/WS1 Resources/Poverty, Intersectionality, Social Justice/9. Displacement in Portland.pdf","main/rebuild/content/workshops/workshop-01/resources/WS1 Resources/Poverty, Intersectionality, Social Justice/9. Displacement in Portland.pdf",workshop-01,resources,,resource,copied,whole_legacy
"main/rebuild/content/legacy/whole/Module 1/WS1 Resources/Poverty, Intersectionality, Social Justice/15. Dismantling the Poverty Trap Article.pdf","main/rebuild/content/workshops/workshop-01/resources/WS1 Resources/Poverty, Intersectionality, Social Justice/15. Dismantling the Poverty Trap Article.pdf",workshop-01,resources,,resource,copied,whole_legacy
"main/rebuild/content/legacy/whole/Module 1/WS1 Resources/Poverty, Intersectionality, Social Justice/5. Poverty in America Statistics.pdf","main/rebuild/content/workshops/workshop-01/resources/WS1 Resources/Poverty, Intersectionality, Social Justice/5. Poverty in America Statistics.pdf",workshop-01,resources,,resource,copied,whole_legacy
"main/rebuild/content/legacy/whole/Module 1/WS1 Resources/Poverty, Intersectionality, Social Justice/7. Bruce’s Beach Systemic Racism and Reparations.pdf","main/rebuild/content/workshops/workshop-01/resources/WS1 Resources/Poverty, Intersectionality, Social Justice/7. Bruce’s Beach Systemic Racism and Reparations.pdf",workshop-01,resources,,resource,copied,whole_legacy
"main/rebuild/content/legacy/whole/Module 1/WS1 Resources/Poverty, Intersectionality, Social Justice/10. Brief History of Race, Racism & Colonialism.pdf","main/rebuild/content/workshops/workshop-01/resources/WS1 Resources/Poverty, Intersectionality, Social Justice/10. Brief History of Race, Racism & Colonialism.pdf",workshop-01,resources,,resource,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/23 Easy Ways To Save Money.docx,main/rebuild/content/workshops/workshop-10/resources/23 Easy Ways To Save Money.docx,workshop-10,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/A Beginner_s Guide to Saving Money.docx,main/rebuild/content/workshops/workshop-10/resources/A Beginner_s Guide to Saving Money.docx,workshop-10,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Workshop_10.zip,main/rebuild/content/workshops/workshop-10/archives/Workshop_10.zip,workshop-10,archives,,archive,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/MB_FTS_ 10.docx,main/rebuild/content/workshops/workshop-10/resources/MB_FTS_ 10.docx,workshop-10,resources,,,copied,whole_legacy
main/rebuild/content/legacy/whole/Module 10/Module 10 Additional Resources.docx,main/rebuild/content/workshops/workshop-10/resources/Module 10 Additional Resources.docx,workshop-10,resources,,additional_resource,copied,whole_legacy
