source,dest,workshop,category,page_role,resource_role,result,source_type,review_reasons
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PNGs/pg3.png,main/rebuild/content/workshops/workshop-07/Student_Guide/PNGs/pg3.png,workshop-07,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PNGs/pg13.png,main/rebuild/content/workshops/workshop-07/Student_Guide/PNGs/pg13.png,workshop-07,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PNGs/pg10.png,main/rebuild/content/workshops/workshop-07/Student_Guide/PNGs/pg10.png,workshop-07,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 7/Workshop_07/Student_Guide/Workshop_07/PNGs/pg14.png,main/rebuild/content/workshops/workshop-07/Student_Guide/PNGs/pg14.png,workshop-07,Student_Guide,,,copied,whole_legacy,generic_page_filename
"main/rebuild/content/legacy/whole/Module 8/Workshop 08 - Mental Health, Relationships & Money.pdf","main/rebuild/content/workshops/workshop-08/resources/Workshop 08 - Mental Health, Relationships & Money.pdf",workshop-08,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 8/MB_FTS_ 8.pdf,main/rebuild/content/workshops/workshop-08/resources/MB_FTS_ 8.pdf,workshop-08,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 8/MB_FTS_ 8.docx,main/rebuild/content/workshops/workshop-08/resources/MB_FTS_ 8.docx,workshop-08,resources,,,copied,whole_legacy,resources_without_resource_role
"main/rebuild/content/legacy/whole/Module 8/Workshop 08 - Mental Health, Relationships & Money; Financial Crisis Planning.pdf","main/rebuild/content/workshops/workshop-08/resources/Workshop 08 - Mental Health, Relationships & Money; Financial Crisis Planning.pdf",workshop-08,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 8/Money Basics PPT Workshop 8.pptx,main/rebuild/content/workshops/workshop-08/resources/Money Basics PPT Workshop 8.pptx,workshop-08,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Facilitator_Guide/Workshop_08/PDFs/pg1.pdf,main/rebuild/content/workshops/workshop-08/Facilitator_Guide/PDFs/pg1.pdf,workshop-08,Facilitator_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Facilitator_Guide/Workshop_08/PDFs/pg8.pdf,main/rebuild/content/workshops/workshop-08/Facilitator_Guide/PDFs/pg8.pdf,workshop-08,Facilitator_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Facilitator_Guide/Workshop_08/PDFs/pg2.pdf,main/rebuild/content/workshops/workshop-08/Facilitator_Guide/PDFs/pg2.pdf,workshop-08,Facilitator_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Facilitator_Guide/Workshop_08/PDFs/pg4.pdf,main/rebuild/content/workshops/workshop-08/Facilitator_Guide/PDFs/pg4.pdf,workshop-08,Facilitator_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Facilitator_Guide/Workshop_08/PDFs/pg7.pdf,main/rebuild/content/workshops/workshop-08/Facilitator_Guide/PDFs/pg7.pdf,workshop-08,Facilitator_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Facilitator_Guide/Workshop_08/PDFs/pg6.pdf,main/rebuild/content/workshops/workshop-08/Facilitator_Guide/PDFs/pg6.pdf,workshop-08,Facilitator_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Facilitator_Guide/Workshop_08/PDFs/pg9.pdf,main/rebuild/content/workshops/workshop-08/Facilitator_Guide/PDFs/pg9.pdf,workshop-08,Facilitator_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Facilitator_Guide/Workshop_08/PDFs/pg5.pdf,main/rebuild/content/workshops/workshop-08/Facilitator_Guide/PDFs/pg5.pdf,workshop-08,Facilitator_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Facilitator_Guide/Workshop_08/PDFs/pg3.pdf,main/rebuild/content/workshops/workshop-08/Facilitator_Guide/PDFs/pg3.pdf,workshop-08,Facilitator_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Facilitator_Guide/Workshop_08/PNGs/pg5.png,main/rebuild/content/workshops/workshop-08/Facilitator_Guide/PNGs/pg5.png,workshop-08,Facilitator_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Facilitator_Guide/Workshop_08/PNGs/pg1.png,main/rebuild/content/workshops/workshop-08/Facilitator_Guide/PNGs/pg1.png,workshop-08,Facilitator_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Facilitator_Guide/Workshop_08/PNGs/pg9.png,main/rebuild/content/workshops/workshop-08/Facilitator_Guide/PNGs/pg9.png,workshop-08,Facilitator_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Facilitator_Guide/Workshop_08/PNGs/pg2.png,main/rebuild/content/workshops/workshop-08/Facilitator_Guide/PNGs/pg2.png,workshop-08,Facilitator_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Facilitator_Guide/Workshop_08/PNGs/pg4.png,main/rebuild/content/workshops/workshop-08/Facilitator_Guide/PNGs/pg4.png,workshop-08,Facilitator_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Facilitator_Guide/Workshop_08/PNGs/pg7.png,main/rebuild/content/workshops/workshop-08/Facilitator_Guide/PNGs/pg7.png,workshop-08,Facilitator_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Facilitator_Guide/Workshop_08/PNGs/pg8.png,main/rebuild/content/workshops/workshop-08/Facilitator_Guide/PNGs/pg8.png,workshop-08,Facilitator_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Facilitator_Guide/Workshop_08/PNGs/pg6.png,main/rebuild/content/workshops/workshop-08/Facilitator_Guide/PNGs/pg6.png,workshop-08,Facilitator_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Facilitator_Guide/Workshop_08/PNGs/pg3.png,main/rebuild/content/workshops/workshop-08/Facilitator_Guide/PNGs/pg3.png,workshop-08,Facilitator_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PDFs/pg21.pdf,main/rebuild/content/workshops/workshop-08/Student_Guide/PDFs/pg21.pdf,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PDFs/pg10.pdf,main/rebuild/content/workshops/workshop-08/Student_Guide/PDFs/pg10.pdf,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PDFs/pg1.pdf,main/rebuild/content/workshops/workshop-08/Student_Guide/PDFs/pg1.pdf,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PDFs/pg17.pdf,main/rebuild/content/workshops/workshop-08/Student_Guide/PDFs/pg17.pdf,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PDFs/pg20.pdf,main/rebuild/content/workshops/workshop-08/Student_Guide/PDFs/pg20.pdf,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PDFs/pg8.pdf,main/rebuild/content/workshops/workshop-08/Student_Guide/PDFs/pg8.pdf,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PDFs/pg18.pdf,main/rebuild/content/workshops/workshop-08/Student_Guide/PDFs/pg18.pdf,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PDFs/pg2.pdf,main/rebuild/content/workshops/workshop-08/Student_Guide/PDFs/pg2.pdf,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PDFs/pg4.pdf,main/rebuild/content/workshops/workshop-08/Student_Guide/PDFs/pg4.pdf,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PDFs/pg12.pdf,main/rebuild/content/workshops/workshop-08/Student_Guide/PDFs/pg12.pdf,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PDFs/pg13.pdf,main/rebuild/content/workshops/workshop-08/Student_Guide/PDFs/pg13.pdf,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PDFs/pg11.pdf,main/rebuild/content/workshops/workshop-08/Student_Guide/PDFs/pg11.pdf,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PDFs/pg16.pdf,main/rebuild/content/workshops/workshop-08/Student_Guide/PDFs/pg16.pdf,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PDFs/pg7.pdf,main/rebuild/content/workshops/workshop-08/Student_Guide/PDFs/pg7.pdf,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PDFs/pg6.pdf,main/rebuild/content/workshops/workshop-08/Student_Guide/PDFs/pg6.pdf,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PDFs/pg14.pdf,main/rebuild/content/workshops/workshop-08/Student_Guide/PDFs/pg14.pdf,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PDFs/pg9.pdf,main/rebuild/content/workshops/workshop-08/Student_Guide/PDFs/pg9.pdf,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PDFs/pg5.pdf,main/rebuild/content/workshops/workshop-08/Student_Guide/PDFs/pg5.pdf,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PDFs/pg19.pdf,main/rebuild/content/workshops/workshop-08/Student_Guide/PDFs/pg19.pdf,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PDFs/pg15.pdf,main/rebuild/content/workshops/workshop-08/Student_Guide/PDFs/pg15.pdf,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PDFs/pg3.pdf,main/rebuild/content/workshops/workshop-08/Student_Guide/PDFs/pg3.pdf,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PNGs/pg5.png,main/rebuild/content/workshops/workshop-08/Student_Guide/PNGs/pg5.png,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PNGs/pg16.png,main/rebuild/content/workshops/workshop-08/Student_Guide/PNGs/pg16.png,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PNGs/pg1.png,main/rebuild/content/workshops/workshop-08/Student_Guide/PNGs/pg1.png,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PNGs/pg9.png,main/rebuild/content/workshops/workshop-08/Student_Guide/PNGs/pg9.png,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PNGs/pg2.png,main/rebuild/content/workshops/workshop-08/Student_Guide/PNGs/pg2.png,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PNGs/pg4.png,main/rebuild/content/workshops/workshop-08/Student_Guide/PNGs/pg4.png,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PNGs/pg19.png,main/rebuild/content/workshops/workshop-08/Student_Guide/PNGs/pg19.png,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PNGs/pg21.png,main/rebuild/content/workshops/workshop-08/Student_Guide/PNGs/pg21.png,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PNGs/pg18.png,main/rebuild/content/workshops/workshop-08/Student_Guide/PNGs/pg18.png,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PNGs/pg7.png,main/rebuild/content/workshops/workshop-08/Student_Guide/PNGs/pg7.png,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PNGs/pg12.png,main/rebuild/content/workshops/workshop-08/Student_Guide/PNGs/pg12.png,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PNGs/pg8.png,main/rebuild/content/workshops/workshop-08/Student_Guide/PNGs/pg8.png,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PNGs/pg11.png,main/rebuild/content/workshops/workshop-08/Student_Guide/PNGs/pg11.png,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PNGs/pg15.png,main/rebuild/content/workshops/workshop-08/Student_Guide/PNGs/pg15.png,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PNGs/pg6.png,main/rebuild/content/workshops/workshop-08/Student_Guide/PNGs/pg6.png,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PNGs/pg17.png,main/rebuild/content/workshops/workshop-08/Student_Guide/PNGs/pg17.png,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PNGs/pg20.png,main/rebuild/content/workshops/workshop-08/Student_Guide/PNGs/pg20.png,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PNGs/pg3.png,main/rebuild/content/workshops/workshop-08/Student_Guide/PNGs/pg3.png,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PNGs/pg13.png,main/rebuild/content/workshops/workshop-08/Student_Guide/PNGs/pg13.png,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PNGs/pg10.png,main/rebuild/content/workshops/workshop-08/Student_Guide/PNGs/pg10.png,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 8/Workshop_08_pages/Student_Guide/Workshop_08/PNGs/pg14.png,main/rebuild/content/workshops/workshop-08/Student_Guide/PNGs/pg14.png,workshop-08,Student_Guide,,,copied,whole_legacy,generic_page_filename
main/rebuild/content/legacy/whole/Module 9/How to Cope with Tax Season Stress.docx,main/rebuild/content/workshops/workshop-09/resources/How to Cope with Tax Season Stress.docx,workshop-09,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 9/What to Know About How to File Taxes.docx,main/rebuild/content/workshops/workshop-09/resources/What to Know About How to File Taxes.docx,workshop-09,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 9/MB_FTS_ 9.docx,main/rebuild/content/workshops/workshop-09/resources/MB_FTS_ 9.docx,workshop-09,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 9/Money Basics PPT Workshop 9.pptx,main/rebuild/content/workshops/workshop-09/resources/Money Basics PPT Workshop 9.pptx,workshop-09,resources,,,copied,whole_legacy,resources_without_resource_role
"main/rebuild/content/legacy/whole/Module 9/Regressive, Proportional, and Progressive Taxes.docx","main/rebuild/content/workshops/workshop-09/resources/Regressive, Proportional, and Progressive Taxes.docx",workshop-09,resources,,,copied,whole_legacy,resources_without_resource_role
main/rebuild/content/legacy/whole/Module 9/Workshop 09 - Tax Returns.pdf,main/rebuild/content/workshops/workshop-09/resources/Workshop 09 - Tax Returns.pdf,workshop-09,resources,,,copied,whole_legacy,resources_without_resource_role
